Oarb_94809_c0_g1_i1	Oarb_94809_c0_g1
Oarb_94727_c1_g1_i4	Oarb_94727_c1_g1
Oarb_94727_c1_g1_i2	Oarb_94727_c1_g1
Oarb_94790_c0_g1_i1	Oarb_94790_c0_g1
Oarb_68353_c0_g1_i1	Oarb_68353_c0_g1
Oarb_52074_c0_g1_i1	Oarb_52074_c0_g1
Oarb_85708_c0_g1_i1	Oarb_85708_c0_g1
Oarb_85708_c0_g1_i2	Oarb_85708_c0_g1
Oarb_85685_c0_g2_i1	Oarb_85685_c0_g2
Oarb_59307_c0_g1_i1	Oarb_59307_c0_g1
Oarb_76545_c0_g1_i1	Oarb_76545_c0_g1
Oarb_76545_c0_g1_i2	Oarb_76545_c0_g1
Oarb_76595_c0_g1_i2	Oarb_76595_c0_g1
Oarb_76531_c0_g1_i1	Oarb_76531_c0_g1
Oarb_76514_c1_g1_i1	Oarb_76514_c1_g1
Oarb_60227_c0_g1_i1	Oarb_60227_c0_g1
Oarb_60282_c0_g1_i1	Oarb_60282_c0_g1
Oarb_93980_c0_g1_i2	Oarb_93980_c0_g1
Oarb_93953_c0_g1_i2	Oarb_93953_c0_g1
Oarb_93984_c0_g1_i1	Oarb_93984_c0_g1
Oarb_93944_c0_g1_i1	Oarb_93944_c0_g1
Oarb_67539_c0_g1_i1	Oarb_67539_c0_g1
Oarb_67539_c0_g2_i1	Oarb_67539_c0_g2
Oarb_58505_c0_g1_i1	Oarb_58505_c0_g1
Oarb_58565_c0_g1_i2	Oarb_58565_c0_g1
Oarb_75751_c0_g1_i1	Oarb_75751_c0_g1
Oarb_75751_c0_g1_i3	Oarb_75751_c0_g1
Oarb_75786_c0_g1_i1	Oarb_75786_c0_g1
Oarb_75731_c0_g1_i1	Oarb_75731_c0_g1
Oarb_49430_c0_g1_i1	Oarb_49430_c0_g1
Oarb_75827_c0_g1_i1	Oarb_75827_c0_g1
Oarb_75867_c0_g2_i1	Oarb_75867_c0_g2
Oarb_75829_c0_g1_i1	Oarb_75829_c0_g1
Oarb_33140_c0_g1_i1	Oarb_33140_c0_g1
Oarb_50402_c0_g1_i1	Oarb_50402_c0_g1
Oarb_92190_c0_g1_i2	Oarb_92190_c0_g1
Oarb_92198_c0_g1_i1	Oarb_92198_c0_g1
Oarb_92193_c0_g1_i4	Oarb_92193_c0_g1
Oarb_92193_c0_g1_i1	Oarb_92193_c0_g1
Oarb_57709_c0_g1_i1	Oarb_57709_c0_g1
Oarb_57709_c0_g1_i2	Oarb_57709_c0_g1
Oarb_15015_c0_g1_i1	Oarb_15015_c0_g1
Oarb_99503_c0_g1_i1	Oarb_99503_c0_g1
Oarb_99468_c1_g1_i2	Oarb_99468_c1_g1
Oarb_99500_c0_g1_i4	Oarb_99500_c0_g1
Oarb_99500_c0_g1_i1	Oarb_99500_c0_g1
Oarb_99500_c0_g1_i3	Oarb_99500_c0_g1
Oarb_99442_c0_g1_i4	Oarb_99442_c0_g1
Oarb_99442_c0_g1_i5	Oarb_99442_c0_g1
Oarb_99442_c0_g1_i6	Oarb_99442_c0_g1
Oarb_99442_c0_g1_i7	Oarb_99442_c0_g1
Oarb_99442_c0_g1_i2	Oarb_99442_c0_g1
Oarb_99510_c0_g1_i1	Oarb_99510_c0_g1
Oarb_99491_c0_g1_i1	Oarb_99491_c0_g1
Oarb_99491_c0_g1_i2	Oarb_99491_c0_g1
Oarb_99491_c0_g1_i3	Oarb_99491_c0_g1
Oarb_99471_c0_g2_i2	Oarb_99471_c0_g2
Oarb_99507_c0_g1_i1	Oarb_99507_c0_g1
Oarb_99507_c0_g1_i2	Oarb_99507_c0_g1
Oarb_99511_c0_g1_i1	Oarb_99511_c0_g1
Oarb_99515_c0_g1_i3	Oarb_99515_c0_g1
Oarb_99508_c0_g1_i1	Oarb_99508_c0_g1
Oarb_99508_c0_g1_i2	Oarb_99508_c0_g1
Oarb_99508_c0_g1_i3	Oarb_99508_c0_g1
Oarb_99435_c0_g1_i1	Oarb_99435_c0_g1
Oarb_99435_c0_g1_i2	Oarb_99435_c0_g1
Oarb_99435_c0_g1_i3	Oarb_99435_c0_g1
Oarb_99440_c0_g1_i5	Oarb_99440_c0_g1
Oarb_99440_c0_g1_i2	Oarb_99440_c0_g1
Oarb_32383_c0_g1_i1	Oarb_32383_c0_g1
Oarb_32341_c0_g1_i1	Oarb_32341_c0_g1
Oarb_32341_c0_g1_i2	Oarb_32341_c0_g1
Oarb_32363_c0_g1_i1	Oarb_32363_c0_g1
Oarb_91281_c0_g1_i1	Oarb_91281_c0_g1
Oarb_91305_c0_g1_i1	Oarb_91305_c0_g1
Oarb_91225_c0_g1_i2	Oarb_91225_c0_g1
Oarb_40559_c0_g1_i1	Oarb_40559_c0_g1
Oarb_91323_c0_g1_i1	Oarb_91323_c0_g1
Oarb_91369_c0_g1_i1	Oarb_91369_c0_g1
Oarb_91386_c0_g1_i2	Oarb_91386_c0_g1
Oarb_91402_c0_g1_i1	Oarb_91402_c0_g1
Oarb_91402_c0_g1_i3	Oarb_91402_c0_g1
